# ID          Name                  Mass(GeV)      Width(GeV)      Degeneracy      B      S      C      b      I        Q      Decays
9010225       f2(1565)              1.54900        0.122000        5               0      0      0      0      0.0      0      6
9030221       f0(1500)              1.56000        0.112000        1               0      0      0      0      0.0      0      9
-7030213      rho(1570)-            1.57000        0.144000        3               0      0      0      0      1.0     -1      1
7030113       rho(1570)0            1.57000        0.144000        3               0      0      0      0      1.0      0      1
7030213       rho(1570)+            1.57000        0.144000        3               0      0      0      0      1.0      1      1
-31114        Anti-Delta(1600)-     1.57000        0.250000        4              -1      0      0      0      1.5      1      8
-32114        Anti-Delta(1600)0     1.57000        0.250000        4              -1      0      0      0      1.5      0      14
-32214        Anti-Delta(1600)+     1.57000        0.250000        4              -1      0      0      0      1.5     -1      14
-32224        Anti-Delta(1600)++    1.57000        0.250000        4              -1      0      0      0      1.5     -2      8
31114         Delta(1600)-          1.57000        0.250000        4               1      0      0      0      1.5     -1      8
32114         Delta(1600)0          1.57000        0.250000        4               1      0      0      0      1.5      0      14
32214         Delta(1600)+          1.57000        0.250000        4               1      0      0      0      1.5      1      14
32224         Delta(1600)++         1.57000        0.250000        4               1      0      0      0      1.5      2      8
-9833114      Anti-Sigma(1580)-     1.58000        0.013000        4              -1      1      0      0      1.0      1      8
-9833214      Anti-Sigma(1580)0     1.58000        0.013000        4              -1      1      0      0      1.0      0      9
-9833224      Anti-Sigma(1580)+     1.58000        0.013000        4              -1      1      0      0      1.0     -1      8
9833114       Sigma(1580)-          1.58000        0.013000        4               1     -1      0      0      1.0     -1      8
9833214       Sigma(1580)0          1.58000        0.013000        4               1     -1      0      0      1.0      0      9
9833224       Sigma(1580)+          1.58000        0.013000        4               1     -1      0      0      1.0      1      8
-9000315      Anti-K2(1580)0        1.58000        0.110000        5               0     -1      0      0      0.5      0      4
-9000325      Anti-K2(1580)+        1.58000        0.110000        5               0     -1      0      0      0.5     -1      4
9000315       K2(1580)0             1.58000        0.110000        5               0      1      0      0      0.5      0      4
9000325       K2(1580)+             1.58000        0.110000        5               0      1      0      0      0.5      1      4
9010223       h1(1595)              1.59400        0.384000        3               0      0      0      0      0.0      0      1
-23122        Anti-Lambda(1600)     1.60000        0.200000        2              -1      1      0      0      0.0      0      9
23122         Lambda(1600)          1.60000        0.200000        2               1     -1      0      0      0.0      0      9
-1112         Anti-Delta(1620)-     1.61000        0.130000        2              -1      0      0      0      1.5      1      6
-1212         Anti-Delta(1620)0     1.61000        0.130000        2              -1      0      0      0      1.5      0      11
-2122         Anti-Delta(1620)+     1.61000        0.130000        2              -1      0      0      0      1.5     -1      11
-2222         Anti-Delta(1620)++    1.61000        0.130000        2              -1      0      0      0      1.5     -2      6
1112          Delta(1620)-          1.61000        0.130000        2               1      0      0      0      1.5     -1      6
1212          Delta(1620)0          1.61000        0.130000        2               1      0      0      0      1.5      0      11
2122          Delta(1620)+          1.61000        0.130000        2               1      0      0      0      1.5      1      11
2222          Delta(1620)++         1.61000        0.130000        2               1      0      0      0      1.5      2      6
10225         eta2(1645)            1.61700        0.181000        5               0      0      0      0      0.0      0      10
-9833112      Anti-Sigma(1620)-     1.62000        0.070000        2              -1      1      0      0      1.0      1      5
-9833212      Anti-Sigma(1620)0     1.62000        0.070000        2              -1      1      0      0      1.0      0      6
-9833222      Anti-Sigma(1620)+     1.62000        0.070000        2              -1      1      0      0      1.0     -1      5
9833112       Sigma(1620)-          1.62000        0.070000        2               1     -1      0      0      1.0     -1      5
9833212       Sigma(1620)0          1.62000        0.070000        2               1     -1      0      0      1.0      0      6
9833222       Sigma(1620)+          1.62000        0.070000        2               1     -1      0      0      1.0      1      5
